code,name,market,updated_at,added_at
000001,平安银行,sz,2026-04-02,
000002,万 科Ａ,sz,2026-04-02,
000006,深振业Ａ,sz,2026-04-02,
000007,全新好,sz,2026-04-02,
000008,神州高铁,sz,2026-04-02,
000009,中国宝安,sz,2026-04-02,
000010,美丽生态,sz,2026-04-02,
000011,深物业A,sz,2026-04-02,
000012,南 玻Ａ,sz,2026-04-02,
000014,沙河股份,sz,2026-04-02,
000016,深康佳Ａ,sz,2026-04-02,
000017,深中华A,sz,2026-04-02,
000019,深粮控股,sz,2026-04-02,
000020,深华发Ａ,sz,2026-04-02,
000021,深科技,sz,2026-04-02,
000025,特 力Ａ,sz,2026-04-02,
000026,飞亚达,sz,2026-04-02,
000027,深圳能源,sz,2026-04-02,
000028,国药一致,sz,2026-04-02,
000029,深深房Ａ,sz,2026-04-02,
000030,富奥股份,sz,2026-04-02,
000031,大悦城,sz,2026-04-02,
000032,深桑达Ａ,sz,2026-04-02,
000034,神州数码,sz,2026-04-02,
000035,中国天楹,sz,2026-04-02,
000036,华联控股,sz,2026-04-02,
000037,深南电A,sz,2026-04-02,
000039,中集集团,sz,2026-04-02,
000042,中洲控股,sz,2026-04-02,
000045,深纺织Ａ,sz,2026-04-02,
000048,京基智农,sz,2026-04-02,
000049,德赛电池,sz,2026-04-02,
000050,深天马Ａ,sz,2026-04-02,
000055,方大集团,sz,2026-04-02,
000056,皇庭国际,sz,2026-04-02,
000058,深 赛 格,sz,2026-04-02,
000059,华锦股份,sz,2026-04-02,
000060,中金岭南,sz,2026-04-02,
000061,农 产 品,sz,2026-04-02,
000062,深圳华强,sz,2026-04-02,
000063,中兴通讯,sz,2026-04-02,
000065,北方国际,sz,2026-04-02,
000066,中国长城,sz,2026-04-02,
000068,华控赛格,sz,2026-04-02,
000069,华侨城Ａ,sz,2026-04-02,
000070,特发信息,sz,2026-04-02,
000078,海王生物,sz,2026-04-02,
000088,盐 田 港,sz,2026-04-02,
000089,深圳机场,sz,2026-04-02,
000090,天健集团,sz,2026-04-02,
000096,广聚能源,sz,2026-04-02,
000099,中信海直,sz,2026-04-02,
000100,TCL科技,sz,2026-04-02,
000151,中成股份,sz,2026-04-02,
000153,丰原药业,sz,2026-04-02,
000155,川能动力,sz,2026-04-02,
000156,华数传媒,sz,2026-04-02,
000157,中联重科,sz,2026-04-02,
000158,常山北明,sz,2026-04-02,
000159,国际实业,sz,2026-04-02,
000166,申万宏源,sz,2026-04-02,
000301,东方盛虹,sz,2026-04-02,
000333,美的集团,sz,2026-04-02,
000338,潍柴动力,sz,2026-04-02,
000400,许继电气,sz,2026-04-02,
000401,金隅冀东,sz,2026-04-02,
000402,金 融 街,sz,2026-04-02,
000403,派林生物,sz,2026-04-02,
000404,长虹华意,sz,2026-04-02,
000407,胜利股份,sz,2026-04-02,
000408,藏格矿业,sz,2026-04-02,
000409,云鼎科技,sz,2026-04-02,
000410,沈阳机床,sz,2026-04-02,
000411,英特集团,sz,2026-04-02,
000415,渤海租赁,sz,2026-04-02,
000417,合百集团,sz,2026-04-02,
000419,通程控股,sz,2026-04-02,
000420,吉林化纤,sz,2026-04-02,
000421,南京公用,sz,2026-04-02,
000422,湖北宜化,sz,2026-04-02,
000423,东阿阿胶,sz,2026-04-02,
000425,徐工机械,sz,2026-04-02,
000426,兴业银锡,sz,2026-04-02,
000428,华天酒店,sz,2026-04-02,
000429,粤高速Ａ,sz,2026-04-02,
000498,山东路桥,sz,2026-04-02,
000501,武商集团,sz,2026-04-02,
000503,国新健康,sz,2026-04-02,
000505,京粮控股,sz,2026-04-02,
000506,招金黄金,sz,2026-04-02,
000507,珠海港,sz,2026-04-02,
000509,华塑控股,sz,2026-04-02,
000510,新金路,sz,2026-04-02,
000513,丽珠集团,sz,2026-04-02,
000514,渝 开 发,sz,2026-04-02,
000516,国际医学,sz,2026-04-02,
000517,荣安地产,sz,2026-04-02,
000519,中兵红箭,sz,2026-04-02,
000520,凤凰航运,sz,2026-04-02,
000521,长虹美菱,sz,2026-04-02,
000523,红棉股份,sz,2026-04-02,
000524,岭南控股,sz,2026-04-02,
000525,红太阳,sz,2026-04-02,
000526,学大教育,sz,2026-04-02,
000528,柳 工,sz,2026-04-02,
000529,广弘控股,sz,2026-04-02,
000530,冰山冷热,sz,2026-04-02,
000531,穗恒运Ａ,sz,2026-04-02,
000532,华金资本,sz,2026-04-02,
000533,顺钠股份,sz,2026-04-02,
000534,万泽股份,sz,2026-04-02,
000536,华映科技,sz,2026-04-02,
000537,绿发电力,sz,2026-04-02,
000538,云南白药,sz,2026-04-02,
000539,粤电力Ａ,sz,2026-04-02,
000541,佛山照明,sz,2026-04-02,
000543,皖能电力,sz,2026-04-02,
000544,中原环保,sz,2026-04-02,
000545,金浦钛业,sz,2026-04-02,
000546,金圆股份,sz,2026-04-02,
000547,航天发展,sz,2026-04-02,
000548,湖南投资,sz,2026-04-02,
000550,江铃汽车,sz,2026-04-02,
000551,创元科技,sz,2026-04-02,
000552,甘肃能化,sz,2026-04-02,
000553,安道麦A,sz,2026-04-02,
000554,泰山石油,sz,2026-04-02,
000555,神州信息,sz,2026-04-02,
000557,西部创业,sz,2026-04-02,
000558,天府文旅,sz,2026-04-02,
000559,万向钱潮,sz,2026-04-02,
000560,我爱我家,sz,2026-04-02,
000561,烽火电子,sz,2026-04-02,
000563,陕国投Ａ,sz,2026-04-02,
000564,供销大集,sz,2026-04-02,
000565,渝三峡Ａ,sz,2026-04-02,
000566,海南海药,sz,2026-04-02,
000567,海德股份,sz,2026-04-02,
000568,泸州老窖,sz,2026-04-02,
000570,苏常柴Ａ,sz,2026-04-02,
000571,新大洲A,sz,2026-04-02,
000572,海马汽车,sz,2026-04-02,
000573,粤宏远Ａ,sz,2026-04-02,
000576,甘化科工,sz,2026-04-02,
000581,威孚高科,sz,2026-04-02,
000582,北部湾港,sz,2026-04-02,
000586,汇源通信,sz,2026-04-02,
000589,贵州轮胎,sz,2026-04-02,
000590,古汉医药,sz,2026-04-02,
000591,太阳能,sz,2026-04-02,
000592,平潭发展,sz,2026-04-02,
000593,德龙汇能,sz,2026-04-02,
000596,古井贡酒,sz,2026-04-02,
000597,东北制药,sz,2026-04-02,
000598,兴蓉环境,sz,2026-04-02,
000599,青岛双星,sz,2026-04-02,
000600,建投能源,sz,2026-04-02,
000601,韶能股份,sz,2026-04-02,
000603,盛达资源,sz,2026-04-02,
000605,渤海股份,sz,2026-04-02,
000607,华媒控股,sz,2026-04-02,
000610,西安旅游,sz,2026-04-02,
000612,焦作万方,sz,2026-04-02,
000617,中油资本,sz,2026-04-02,
000619,海螺新材,sz,2026-04-02,
000620,盈新发展,sz,2026-04-02,
000623,吉林敖东,sz,2026-04-02,
000625,长安汽车,sz,2026-04-02,
000626,远大控股,sz,2026-04-02,
000628,高新发展,sz,2026-04-02,
000629,钒钛股份,sz,2026-04-02,
000630,铜陵有色,sz,2026-04-02,
000631,顺发恒能,sz,2026-04-02,
000632,三木集团,sz,2026-04-02,
000633,合金投资,sz,2026-04-02,
000635,英 力 特,sz,2026-04-02,
000636,风华高科,sz,2026-04-02,
000637,茂化实华,sz,2026-04-02,
000639,西王食品,sz,2026-04-02,
000650,仁和药业,sz,2026-04-02,
000651,格力电器,sz,2026-04-02,
000652,泰达股份,sz,2026-04-02,
000655,金岭矿业,sz,2026-04-02,
000657,中钨高新,sz,2026-04-02,
000659,珠海中富,sz,2026-04-02,
000661,长春高新,sz,2026-04-02,
000663,永安林业,sz,2026-04-02,
000665,湖北广电,sz,2026-04-02,
000670,盈方微,sz,2026-04-02,
000672,上峰水泥,sz,2026-04-02,
000676,智度股份,sz,2026-04-02,
000677,恒天海龙,sz,2026-04-02,
000678,襄阳轴承,sz,2026-04-02,
000679,大连友谊,sz,2026-04-02,
000680,山推股份,sz,2026-04-02,
000681,视觉中国,sz,2026-04-02,
000682,东方电子,sz,2026-04-02,
000683,博源化工,sz,2026-04-02,
000685,中山公用,sz,2026-04-02,
000686,东北证券,sz,2026-04-02,
000688,国城矿业,sz,2026-04-02,
000690,宝新能源,sz,2026-04-02,
000692,惠天热电,sz,2026-04-02,
000695,滨海能源,sz,2026-04-02,
000700,模塑科技,sz,2026-04-02,
000701,厦门信达,sz,2026-04-02,
000702,正虹科技,sz,2026-04-02,
000703,恒逸石化,sz,2026-04-02,
000705,浙江震元,sz,2026-04-02,
000707,双环科技,sz,2026-04-02,
000708,中信特钢,sz,2026-04-02,
000709,河钢股份,sz,2026-04-02,
000710,贝瑞基因,sz,2026-04-02,
000712,锦龙股份,sz,2026-04-02,
000713,国投丰乐,sz,2026-04-02,
000715,中兴商业,sz,2026-04-02,
000716,黑芝麻,sz,2026-04-02,
000717,中南股份,sz,2026-04-02,
000718,苏宁环球,sz,2026-04-02,
000719,中原传媒,sz,2026-04-02,
000720,新能泰山,sz,2026-04-02,
000721,西安饮食,sz,2026-04-02,
000722,湖南发展,sz,2026-04-02,
000723,美锦能源,sz,2026-04-02,
000725,京东方Ａ,sz,2026-04-02,
000726,鲁 泰Ａ,sz,2026-04-02,
000727,冠捷科技,sz,2026-04-02,
000728,国元证券,sz,2026-04-02,
000729,燕京啤酒,sz,2026-04-02,
000731,四川美丰,sz,2026-04-02,
000733,振华科技,sz,2026-04-02,
000735,罗 牛 山,sz,2026-04-02,
000737,北方铜业,sz,2026-04-02,
000738,航发控制,sz,2026-04-02,
000739,普洛药业,sz,2026-04-02,
000750,国海证券,sz,2026-04-02,
000751,锌业股份,sz,2026-04-02,
000753,漳州发展,sz,2026-04-02,
000755,山西高速,sz,2026-04-02,
000756,新华制药,sz,2026-04-02,
000757,浩物股份,sz,2026-04-02,
000758,中色股份,sz,2026-04-02,
000759,中百集团,sz,2026-04-02,
000761,本钢板材,sz,2026-04-02,
000762,西藏矿业,sz,2026-04-02,
000766,通化金马,sz,2026-04-02,
000767,晋控电力,sz,2026-04-02,
000768,中航西飞,sz,2026-04-02,
000776,广发证券,sz,2026-04-02,
